file_name,date,prison_name,tags
Chowchilla_20201207_128_FULL,20201207,Chowchilla,"['Stress', ' Prison Conditions', ' Family']"
Chowchilla_20201208_117_FULL,20201208,Chowchilla,['Infection']
Chowchilla_20201209_118_FULL,20201209,Chowchilla,"['Infection', ' Prison Conditions', ' Stress']"
Chowchilla_20201209_121_FULL_Family_PrisonConditions,20201209,Chowchilla,"['Family', ' Prison Conditions']"
Chowchilla_20201217_204_Full,20201217,Chowchilla,['']
Chowchilla_20201218_173_FULL_PrisonConditions_Stress_Family,20201218,Chowchilla,"['Prison Conditions', ' Stress', ' Family']"
Chowchilla_20201221_147_FULL,20201221,Chowchilla,['']
Chowchilla_20201221_193_Full_PrisonCondtions_Stress,20201221,Chowchilla,"['Prison Conditions', ' Stress']"
Chowchilla_20201222_189_FULL,20201222,Chowchilla,['Stress']
Chowchilla_20201223_218_FULL,20201223,Chowchilla,['']
Chowchilla_20201224_212_Full_PrisonConditions_Infection_Stress,20201224,Chowchilla,"['Prison Conditions', ' Infection', ' Stress']"
Chowchilla_20201228_148_FULL,20201228,Chowchilla,['']
Chowchilla_20201228_177_FULL,20201228,Chowchilla,['']
Chowchilla_20210104_248_Full,20210104,Chowchilla,['Prison Conditions']
Chowchilla_20210111_262_Full_Infection,20210111,Chowchilla,['Infection']
Chowchilla_20210114_270_Full,20210114,Chowchilla,['']
Chowchilla_20210121_324_FULL_PrisonConditions,20210121,Chowchilla,['Prison Conditions']
Chowchilla_20210405_960_Full_Stress,20210405,Chowchilla,['Stress']
Chuckawalla_20210215_417_Full_PrisonConditions_Infection,20210215,Chuckawalla,"['Prison Conditions', ' Infection']"
CIW_20201120_71_FULL,20201120,CIW,"['Stress', ' Family', ' Prison Conditions', ' Programs']"
CIW_20201201_79_FULL,20201201,CIW,['']
CIW_20201202_88_Familyandstress,20201202,CIW,"['Family', ' Stress']"
CIW_20201203_076_PrisonConditions_Stress,20201203,CIW,['Prison Conditions; Stress']
CIW_20201203_80_FULL_PrisonConditions_Infection,20201203,CIW,"['Prison Conditions', ' Infection', ' Stress', ' Featured']"
CIW_20201203_81_FULL,20201203,CIW,"['Infection', ' Family', ' Stress']"
CIW_20201204_85_FULL_PrisonConditions_Stress,20201204,CIW,"['Prison Conditions', ' Stress']"
CIW_20201209_114_FULL,20201209,CIW,"['Stress', ' Family', ' Prison Conditions', ' Programs']"
CIW_20201215_131_FULL,20201215,CIW,['']
CIW_20201217_194_FULL_Infection,20201217,CIW,"['Infection', ' Prison Conditions']"
CIW_20201218_153_FULL,20201218,CIW,['']
CIW_20201224_152_FULL,20201224,CIW,['']
CIW_20201230_160_FULL,20201230,CIW,['Prison Conditions']
CIW_20210319_577_FULL_Stress,20210319,CIW,['Stress']
CMC_20210120_329_Full_PrisonConditions_Infections_Stress,20210120,CMC,"['Prison Conditions', ' Infection', ' Stress']"
CMC_20210121_316_FULL,20210121,CMC,['Prison Conditions']
CMC_20210125_315_Full_PrisonConditions_Stress,20210125,CMC,"['Prison Conditions', ' Stress']"
CMC_20210125_331_Full_PrisonConditions_Infection_Family,20210125,CMC,"['Featured', ' Prison Conditions', ' Infection', ' Family']"
CMC_20210125_332_Full_Infection,20210125,CMC,['Infection']
CMC_20210125_333_Full_Stress_Feature,20210125,CMC,"['Featured', ' Stress']"
CMC_20210126_336_Full,20210126,CMC,['']
CMC_20210129_307_FULL,20210129,CMC,"['Stress', ' Prison Conditions']"
CMC_20210129_308_Full_PrisonConditions,20210129,CMC,['Prison Conditions']
CMC_20210208_346_FULL_Stress_Infection_PrisonConditions,20210208,CMC,"['Stress', ' Infection', ' Prison Conditions']"
CMC_20210209_363_Full_w_themes,20210209,CMC,"['Family', ' Stress']"
CMC_20210210_355_FULL,20210210,CMC,"['Prison Conditions', ' Program', ' Family']"
CMC_20210210_357_FULL,20210210,CMC,['']
CMC_20210210_358_FULL_Stress,20210210,CMC,['Stress']
