Facility Name,Week Number,Positive_Count,Negative_Count,All Facilities Weekly Count,Specific Facility Weekly Count,All Facilities Weekly Positive Ratio,All Facilities Weekly Negative Ratio,Specific Facility Positive Ratio,Specific Facility Negative Ratio
Calipatria,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Centinela,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Donovan,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Norco,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Solano,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Stockton,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Valley State,65,1,2,11,3,0.09090909090909090,0.18181818181818200,0.3333333333333330,0.6666666666666670
Wasco,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
CaliforniaCity,69,1,0,58,1,0.017241379310344800,0.0,1.0,0.0
Corcoran,69,0,1,58,1,0.0,0.017241379310344800,0.0,1.0
Donovan,69,3,7,58,10,0.05172413793103450,0.1206896551724140,0.3,0.7
Folsom,69,0,1,58,1,0.0,0.017241379310344800,0.0,1.0
KernValley,69,0,10,58,10,0.0,0.1724137931034480,0.0,1.0
Mule Creek,69,0,3,58,3,0.0,0.05172413793103450,0.0,1.0
NewFolsom,69,0,6,58,6,0.0,0.10344827586206900,0.0,1.0
Orange_Central,69,0,1,58,1,0.0,0.017241379310344800,0.0,1.0
Orange_TheoLacy,69,0,4,58,4,0.0,0.06896551724137930,0.0,1.0
PelicanBay,69,0,1,58,1,0.0,0.017241379310344800,0.0,1.0
SalinasValley,69,1,3,58,4,0.017241379310344800,0.05172413793103450,0.25,0.75
Solano,69,0,1,58,1,0.0,0.017241379310344800,0.0,1.0
Susanville,69,0,5,58,5,0.0,0.08620689655172410,0.0,1.0
Vacaville,69,0,8,58,8,0.0,0.13793103448275900,0.0,1.0
Valley State,69,0,2,58,2,0.0,0.034482758620689700,0.0,1.0
CaliforniaCity,74,0,1,181,1,0.0,0.0055248618784530400,0.0,1.0
Riverside_Benoit,74,0,36,181,36,0.0,0.19889502762430900,0.0,1.0
Riverside_Byrd,74,0,36,181,36,0.0,0.19889502762430900,0.0,1.0
Riverside_Presley,74,0,72,181,72,0.0,0.39779005524861900,0.0,1.0
Riverside_Smith,74,0,36,181,36,0.0,0.19889502762430900,0.0,1.0
CaliforniaCity,75,1,0,147,1,0.006802721088435370,0.0,1.0,0.0
NewFolsom,75,0,2,147,2,0.0,0.013605442176870700,0.0,1.0
Riverside_Blythe,75,0,36,147,36,0.0,0.24489795918367300,0.0,1.0
Riverside_Smith,75,0,108,147,108,0.0,0.7346938775510200,0.0,1.0
CaliforniaCity,76,0,2,110,2,0.0,0.01818181818181820,0.0,1.0
Riverside_Smith,76,0,108,110,108,0.0,0.9818181818181820,0.0,1.0
Calipatria,62,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Chino,62,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
High Desert,62,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Jamestown,62,0,2,12,2,0.0,0.16666666666666700,0.0,1.0
Pleasant Valley,62,1,1,12,2,0.08333333333333330,0.08333333333333330,0.5,0.5
Solano,62,1,3,12,4,0.08333333333333330,0.25,0.25,0.75
Tracy,62,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
