Filename,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
Chino_20201211_0615_PrisonConditions.txt,0.111,0.85,0.04,-0.9929
Chino_20201213_137_FULL_Infection_Stress.txt,0.139,0.767,0.095,-0.971
Chino_20201214_138_FULL_Programs_PrisonConditions.txt,0.053,0.837,0.11,0.9819
Chino_20201214_140_FULL.txt,0.134,0.787,0.078,-0.9986
Chino_20201214_140_Prison Conditions.txt,0.136,0.795,0.069,-0.9669
Chino_20201216_06_02_Family.txt,0.106,0.793,0.101,0.3222
Chino_20201216_06_02_FULL.txt,0.069,0.815,0.116,0.9988
Chino_20201216_06_02_Infection.txt,0.054,0.804,0.142,0.9906
Chino_20201216_06_02_PrisonConditions.txt,0.066,0.823,0.111,0.9923
Chino_20201218_174_FULL.txt,0.045,0.846,0.109,0.9608
Chino_20201218_206_Full_PrisonConditions.txt,0.134,0.748,0.119,-0.3247
Chino_20201223_207_FULL.txt,0.121,0.814,0.064,-0.9951
Chino_20201223_207_Infections.txt,0.146,0.8,0.054,-0.9861
Chino_20201223_207_programs.txt,0.075,0.881,0.044,-0.7665
Chino_20201223_207_Stress.txt,0.168,0.733,0.099,-0.9627
Chino_20201223_208_Full.txt,0.098,0.759,0.143,0.9861
Chino_20201223_209_FULL.docx,0.072,0.822,0.106,0.9877
Chino_20201223_209_FULL.txt,0.084,0.817,0.099,0.9587
Chino_20201223_209_PrisonConditions_Infection.txt,0.133,0.766,0.101,-0.6611
Chino_20201223_209_Programs_Infection.txt,0.039,0.899,0.062,0.4889
Chino_20201223_209_Programs_PrisonConditions_Infection.txt,0.066,0.866,0.068,0.5327
Chino_20201228_178_Full_PrisonConditions_Infection.txt,0.21,0.711,0.079,-0.9937
Chino_20201231_186_FULL.txt,0.142,0.74,0.117,-0.9921
Chino_20201231_186_Infections_PrisonConditions_A.txt,0.094,0.755,0.151,0.974
Chino_20201231_186_PrisonConditions_B.txt,0.174,0.708,0.118,-0.9712
Chino_20201231_186_PrisonConditions_C.txt,0.161,0.748,0.091,-0.9763
Chino_20201231_186_Stress_Family.txt,0.208,0.708,0.084,-0.9615
Chino_20201231_201_FULL.txt,0.1,0.726,0.175,0.9987
Chino_20201231_201_Infection.txt,0.148,0.714,0.137,-0.0
Chino_20201231_201_Infection_Stress.txt,0.118,0.763,0.119,-0.4373
Chino_20201231_201_PrisonConditions.txt,0.086,0.85,0.064,-0.5849
Chino_20201231_201_Programs.txt,0.022,0.82,0.158,0.9287
Chino_20201231_201_Stress.txt,0.148,0.749,0.103,-0.8136
Chino_20210106_249_Full_Family.txt,0.044,0.84,0.116,0.8565
Chino_20210312_659_FULL_PrisonConditions_Stress.txt,0.131,0.777,0.092,-0.9348
Chino_20211209_113_Full_ programs_PrisonConditions.txt,0.03,0.791,0.179,0.9778
Chino_20220204_15904_FULL.txt,0.041,0.787,0.172,0.9958
Chino_20220204_15904_Infection.txt,0.033,0.825,0.142,0.9894
Chino_20220204_43800_Family_Stress.txt,0.038,0.807,0.155,0.9887
Chino_20220204_43800_FULL.txt,0.065,0.707,0.228,0.9999
Chino_20220204_43800_Infection_Family_Featured.txt,0.044,0.695,0.261,0.9995
Chino_20220204_43800_Infection_Programs.txt,0.047,0.73,0.222,0.9871
Chino_20220204_45125_FULL.txt,0.042,0.838,0.12,0.9991
Chino_20220204_45125_Infection1_PrisonConditions1.txt,0.016,0.936,0.049,0.9283
Chino_20220204_45125_Infection2_Stress2_Family.txt,0.046,0.81,0.144,0.9929
Chino_20220204_45125_Stress1_PrisonConditions2.txt,0.056,0.844,0.1,0.9735
Chino_20220204_68596_FULL.txt,0.043,0.753,0.204,0.9998
Chino_20220204_68596_Infection1.txt,0.053,0.794,0.153,0.9855
Chino_20220204_68596_Infection2_Family_Stress.txt,0.052,0.798,0.15,0.9941
Chino_20220204_68596_PrisonConditions.txt,0.022,0.707,0.271,0.9975
Chino_20220204_94412_Family2_PrisonConditions2.txt,0.067,0.797,0.137,0.9828
Chino_20220204_94412_FULL.txt,0.074,0.771,0.155,0.9995
Chino_20220204_94412_Infection2_PrisonConditions.txt,0.034,0.8,0.167,0.9961
