Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
51,Tehachapi,Prison,State,15,1,-0.999979257583618,-0.999979257583618,-0.999979257583618,-0.999979257583618,-0.999979257583618
52,Tehachapi,Prison,State,18,2,-0.9930785000324250,-0.9965377002954490,-0.9896192997694010,-0.986160099506378,-0.999996900558472
54,Tehachapi,Prison,State,15,1,-0.999953866004944,-0.999953866004944,-0.999953866004944,-0.999953866004944,-0.999953866004944
55,Tehachapi,Prison,State,14,2,-0.9999136328697210,-0.9999410808086400,-0.9998861849308010,-0.999858736991882,-0.999968528747559
57,Tehachapi,Prison,State,11,1,-0.999951004981995,-0.999951004981995,-0.999951004981995,-0.999951004981995,-0.999951004981995
58,Tehachapi,Prison,State,16,1,-0.999988198280334,-0.999988198280334,-0.999988198280334,-0.999988198280334,-0.999988198280334
68,Tehachapi,Prison,State,51,1,-0.994769036769867,-0.994769036769867,-0.994769036769867,-0.994769036769867,-0.994769036769867
47,CSATF,Prison,State,10,1,-0.9715136885643,-0.9715136885643,-0.9715136885643,-0.9715136885643,-0.9715136885643
50,CSATF,Prison,State,17,2,0.1560736894607550,-0.25917264819145200,0.5713200271129610,0.986566364765167,-0.674418985843658
52,CSATF,Prison,State,18,1,-0.6221564412117,-0.6221564412117,-0.6221564412117,-0.6221564412117,-0.6221564412117
53,CSATF,Prison,State,16,4,-0.49910135567188200,-0.9998214393854140,-0.40239447355270400,0.809791266918182,-0.999967575073242
54,CSATF,Prison,State,15,5,-0.9766583800315860,-0.999748408794403,-0.988845765590668,-0.896828830242157,-0.999994277954102
55,CSATF,Prison,State,14,2,-0.015731185674667000,-0.507843121886253,0.476380750536919,0.968492686748505,-0.999955058097839
