Filename,Date,Sentiment Numeric,FlairSentiment,FlairPolarity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Facility Name,Name in Prison,County,Population,Level,Type,Tags,Week Number,Start Date,End Date,case number,case rate,death number,death rate,Persent Occupied
Donovan_20210428_853_FULL_FamilyInfection,2021-04-28,1,POSITIVE,0.975836992263794,0.041,0.745,0.214,0.9962,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Family', ' Infection']",69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210428_764_FULL,2021-04-28,0,NEGATIVE,-0.999897480010986,0.115,0.799,0.086,-0.9845,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210428_763_FULL_Infection_PrisonConditions,2021-04-28,1,POSITIVE,0.775083005428314,0.053,0.792,0.155,0.9872,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Infection', ' Prison Conditions']",69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210428_761_FULL,2021-04-28,0,NEGATIVE,-0.594253540039063,0.109,0.749,0.142,0.9816,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210428_762_FULL_PrisonConditionsStress,2021-04-28,0,NEGATIVE,-0.816797614097595,0.139,0.7,0.162,0.7428,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Prison Conditions', ' Stress']",69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210503_6_27_FULL_Infection_PrisonConditions,2021-05-03,1,POSITIVE,0.887286007404327,0.017,0.767,0.216,0.9991,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Infection', ' Prison Conditions']",70,2021-05-03,2021-05-09,0.0,0.0,0.0,0.0,110.0
Donovan_20210507_5_59_P2_FULL,2021-05-07,0,NEGATIVE,-0.99973052740097,0.118,0.744,0.138,0.6148,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],70,2021-05-03,2021-05-09,0.0,0.0,0.0,0.0,110.0
Vacaville_20201015_154_FULL,2020-10-15,0,NEGATIVE,-0.998925387859344,0.122,0.76,0.119,-0.1531,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],41,2020-10-12,2020-10-18,0.0,0.0,0.0,0.0,128.2
Vacaville_20201112_035_FULL,2020-11-12,0,NEGATIVE,-0.999996900558472,0.096,0.814,0.091,-0.3326,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,"['Programs', ' Prison Conditions']",45,2020-11-09,2020-11-15,5.0,0.001503307276007220,0.0,0.0,128.2
Vacaville_20201124_01_45_FULL_PrisonConditions,2020-11-24,0,NEGATIVE,-0.9999920129776,0.034,0.843,0.122,0.9947,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,"['Prison Conditions', ' Featured']",47,2020-11-23,2020-11-29,9.0,0.0027059530968129900,0.0,0.0,128.2
Vacaville_20201222_100_FULL,2020-12-22,0,NEGATIVE,-0.85570502281189,0.057,0.72,0.223,0.994,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],51,2020-12-21,2020-12-27,151.0,0.04539987973541790,0.0,0.0,128.2
Vacaville_20210104_288_FULL_PrisonConditions_Programs_Infection,2021-01-04,0,NEGATIVE,-0.999844789505005,0.053,0.833,0.114,0.9824,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,"['Prison Conditions', ' Programs', ' Infection']",53,2021-01-04,2021-01-10,78.0,0.02345159350571260,0.0,0.0,128.2
Vacaville_20210111_156_FULL_Infection,2021-01-11,0,NEGATIVE,-0.999976873397827,0.12,0.649,0.231,0.9493,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,"['Featured', ' Infection', ' Prison Condition']",54,2021-01-11,2021-01-17,56.0,0.01683704149128080,1.0,0.0003006614552014430,128.2
Vacaville_20210426_839_FULL,2021-04-26,0,NEGATIVE,-0.999955296516418,0.14,0.806,0.053,-0.9964,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20210426_862_FULL_PrisonConditions,2021-04-26,0,NEGATIVE,-0.999955415725708,0.041,0.825,0.134,0.9925,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,['Prison Conditions'],69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20210426_873_FULL_PrisonConditionsInfectionStress,2021-04-26,0,NEGATIVE,-0.98232239484787,0.106,0.771,0.123,0.749,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,"['Prison Conditions', ' Infection', ' Stress', ' Featured']",69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20210426_900_FULL,2021-04-26,0,NEGATIVE,-0.943838179111481,0.019,0.848,0.133,0.9952,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
