word,positive_count,negative_count,part_of_speech
patients,3,62,NNS
procedures,2,62,NNS
reception,8,62,NN
grievance,0,62,NN
commissary,6,62,NN
lunch,4,62,NN
purpose,21,62,NN
opinion,9,62,NN
status,10,62,NN
complain,8,62,NN
yesterday,16,62,NN
caring,18,62,VBG
expect,10,62,VB
—,0,61,NN
somehow,4,61,NN
training,12,61,NN
feed,4,61,NN
monday,11,61,NN
present,18,61,NN
avoid,5,61,NN
friday,9,61,NN
suicide,6,61,NN
media,7,61,NNS
affects,7,61,NNS
faith,34,61,NN
tomorrow,7,60,NN
practice,19,60,NN
la,12,60,NN
chino,6,60,NN
fair,6,60,NN
bottom,9,60,NN
paperwork,1,60,NN
zero,6,60,NN
police,7,60,NNS
lived,20,60,VBD
action,6,59,NN
circumstances,11,59,NNS
weekend,9,59,NN
survive,14,59,NN
involved,13,59,VBN
served,10,59,VBD
required,9,59,VBN
keeps,6,58,NNS
hug,21,58,NN
institutions,5,58,NNS
hate,12,58,NN
fall,11,58,NN
n95,4,58,NN
pfizer,4,58,NN
game,4,58,NN
meaning,11,58,NN
window,4,58,NN
fellow,15,58,NN
huh,2,58,NN
levels,8,58,NNS
learning,13,58,VBG
realized,12,58,VBN
killed,6,58,VBN
handling,4,58,VBG
aches,5,57,NNS
and/or,8,57,NN
break,9,57,NN
mass,5,57,NN
amongst,4,57,NN
headache,4,57,NN
nonviolent,0,57,NN
hang,13,57,NN
correct,6,57,NN
grateful,23,57,NN
guard,5,57,NN
damn,2,57,NN
harder,21,57,NN
stressed,4,57,VBN
according,6,57,VBG
wonder,8,56,NN
bathroom,8,56,NN
guidelines,7,56,NNS
note,7,56,NN
contract,2,56,NN
uh,3,56,NN
blame,10,56,NN
wall,10,56,NN
grievances,1,56,NNS
violence,8,56,NN
step,11,56,NN
fell,5,56,VBD
underlying,12,56,VBG
transferring,2,56,VBG
package,9,55,NN
tents,4,55,NNS
matters,8,55,NNS
minimum,6,55,NN
drug,16,55,NN
woman,10,55,NN
communicate,11,55,NN
youd,5,55,NN
accept,15,55,NN
finds,30,55,NNS
spray,3,55,NN
correspondence,20,55,NN
wishes,10,55,NNS
transfers,2,55,NNS
comfort,3,55,NN
wouldve,5,55,NN
mess,5,55,NN
danger,8,55,NN
hi,19,55,NN
pushing,8,55,VBG
consider,5,55,VB
authority,4,54,NN
visitations,7,54,NNS
beings,11,54,NNS
puts,0,54,NNS
message,15,54,NN
glass,5,54,NN
piece,8,54,NN
suffered,7,54,VBD
checking,3,54,VBG
rate,3,53,NN
library,3,53,NN
everythings,4,53,NNS
focus,13,53,NN
sickness,9,53,NN
immune,2,53,NN
couldve,7,53,NN
collect,5,53,NN
spoke,11,53,NN
looks,3,53,NNS
activities,11,53,NNS
paying,8,53,VBG
noticed,9,53,VBN
relationship,9,52,NN
violation,2,52,NN
trial,10,52,NN
history,15,52,NN
box,7,52,NN
laundry,6,52,NN
thankful,11,52,NN
beat,6,52,NN
throw,7,52,NN
choose,6,52,NN
north,5,51,NN
signs,6,51,NNS
corona,8,51,NN
wake,11,51,NN
row,6,51,NN
ride,4,51,NN
post,6,51,NN
heres,15,51,NNS
systems,8,51,NNS
hygiene,6,51,NN
diagnosed,3,51,VBN
playing,8,51,VBG
remove,6,51,VB
standing,8,51,VBG
checked,4,50,NNS
ad,1,50,NN
uc,9,50,NN
funny,5,50,NN
picture,11,50,NN
card,9,50,NN
regards,14,50,NNS
visitors,5,50,NNS
em,1,50,NN
dad,13,50,NN
mistakes,8,50,NNS
simple,11,50,NN
providing,3,50,VBG
ignored,6,50,VBN
praying,17,50,VBG
forgot,7,49,NN
whoever,9,49,NN
christmas,9,49,NN
possibility,11,49,NN
stimulus,2,49,NN
lots,8,49,NNS
email,2,49,NN
courses,16,49,NNS
appointment,3,49,NN
mouth,6,49,NN
worth,15,49,NN
tables,7,49,NNS
anger,13,49,NN
wildfire,0,49,NN
lawyer,2,49,NN
complaints,8,49,NNS
orders,6,49,NNS
refusing,6,49,VBG
complaining,3,49,VBG
committed,17,49,VBN
returned,3,49,VBN
experiencing,11,49,VBG
blessing,28,48,NN
resources,4,48,NNS
roll,1,48,NN
feelings,16,48,NNS
effort,5,48,NN
attorney,5,48,NN
meds,1,48,NNS
types,5,48,NNS
justice,10,48,NN
correction,7,48,NN
meeting,7,48,NN
damage,3,48,NN
fun,5,48,NN
anytime,11,48,NN
impact,12,48,NN
weight,6,48,NN
reform,8,48,NN
ground,4,48,NN
recreation,6,48,NN
isolate,10,48,NN
designed,5,48,VBN
washing,12,48,VBG
ordered,6,48,VBN
attitude,4,47,NN
pictures,9,47,NNS
television,2,47,NN
infect,1,47,NN
hopes,2,47,NNS
bodies,6,47,NNS
behalf,6,47,NN
fill,6,47,NN
study,15,47,NN
church,10,47,NN
deserve,13,47,NN
ctf,3,47,NN
wave,4,47,NN
ventilation,3,47,NN
degree,10,47,NN
solano,3,47,NN
concerning,8,47,VBG
watched,8,47,VBN
affecting,4,47,VBG
depressing,10,47,VBG
contaminated,3,47,VBN
lying,3,47,VBG
changing,10,47,VBG
soledad,4,46,NN
sooner,9,46,NN
fault,4,46,NN
online,5,46,NN
insight,6,46,NN
sat,7,46,NN
forth,4,46,NN
strength,26,46,NN
meant,13,46,NN
walked,6,46,VBD
quarantining,5,46,VBG
occurred,6,46,VBD
feeding,5,46,VBG
restricted,4,46,VBN
dates,1,45,NNS
bay,9,45,NN
students,21,45,NNS
race,14,45,NN
failure,2,45,NN
laws,8,45,NNS
draw,20,45,NN
bus,0,45,NN
picked,7,45,NNS
whatsoever,0,45,NN
filthy,2,45,NN
hardest,11,45,NN
girl,8,45,NN
sounds,4,45,NNS
persons,5,45,NNS
items,3,45,NNS
instance,3,45,NN
dark,13,45,NN
fortunate,20,45,NN
reduce,2,45,VB
finding,12,45,VBG
struggling,5,45,VBG
plenty,5,44,NN
thousands,6,44,NNS
camp,6,44,NN
ups,8,44,NNS
privileges,5,44,NNS
trump,4,44,NN
appeal,0,44,NN
tablet,4,44,NN
chemicals,2,44,NNS
value,14,44,NN
murder,10,44,NN
language,7,44,NN
crimes,9,44,NNS
surgery,1,44,NN
south,2,44,NN
jesus,14,44,NN
followed,9,44,VBD
overcrowded,1,44,VBN
arrested,9,44,VBN
mandated,2,44,VBN
contracting,4,44,VBG
impacted,5,44,VBN
added,8,44,VBD
shift,4,43,NN
captain,7,43,NN
sports,8,43,NNS
exposure,4,43,NN
bleach,0,43,NN
throat,2,43,NN
company,8,43,NN
express,12,43,NN
starts,14,43,NNS
seg,0,43,NN
lord,10,43,NN
schedule,9,43,NN
strain,4,43,NN
account,3,43,NN
quarters,5,43,NNS
tylenol,3,43,NN
pods,5,43,NNS
deep,11,43,NN
witnessed,6,43,VBN
scheduled,6,43,VBN
pulled,3,43,VBD
becoming,8,43,VBG
earn,8,42,NN
protective,4,42,NN
los,12,42,NN
size,5,42,NN
meet,15,42,NN
mad,5,42,NN
asthma,2,42,NN
sanitation,2,42,NN
games,1,42,NNS
protection,10,42,NN
spirits,15,42,NNS
moves,2,42,NNS
afford,7,42,NN
procedure,0,42,NN
confinement,6,42,NN
option,6,42,NN
super,4,42,NN
computer,8,42,NN
wore,4,42,NN
eye,7,42,NN
push,8,42,NN
voices,9,42,NNS
music,22,42,NN
missing,4,42,VBG
wellbeing,6,42,VBG
interesting,13,42,VBG
continues,4,42,VBZ
shared,18,42,VBN
confirmed,2,42,VBN
resolved,3,42,VBN
implemented,1,42,VBN
led,11,42,VBN
patient,3,41,NN
shows,9,41,NNS
complaint,2,41,NN
sink,6,41,NN
clothing,2,41,NN
enjoy,12,41,NN
build,8,41,NN
immunity,2,41,NN
grab,2,41,NN
nobodys,1,41,NN
illness,2,41,NN
donovan,6,41,NN
employees,4,41,NNS
cost,6,41,NN
save,8,41,VB
overwhelming,7,41,VBG
holds,5,41,VBZ
causing,6,41,VBG
convicted,12,41,VBN
evening,5,41,VBG
releasing,2,41,VBG
considering,5,41,VBG
