Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days
12/25/2022,Ironwood State Prison (ISP),33.598689999999998,-114.652517,3145,1,31,7
12/25/2022,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,1427,7,54,80
12/25/2022,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,2301,15,98,39
12/25/2022,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,3342,9,65,24
12/25/2022,North Kern State Prison (NKSP),35.774966999999997,-119.23371,4237,6,3,180
12/25/2022,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,917,0,16,2
12/25/2022,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2765,3,62,9
12/25/2022,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1743,21,24,4
12/25/2022,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,1001,2,23,13
12/25/2022,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,4829,8,42,2
12/25/2022,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,3370,0,115,32
12/25/2022,California State Prison-Solano (SOL),38.344009999999997,-121.95333,2069,7,59,23
12/25/2022,San Quentin State Prison (SQ),37.943365,-122.49029,3239,28,24,7
12/25/2022,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,1283,6,54,15
12/25/2022,Valley State Prison (VSP),37.127524999999999,-120.50574,2251,2,37,5
12/25/2022,Wasco State Prison (WSP),35.605044999999997,-119.37143,5215,2,2,187
12/24/2022,Avenal State Prison (ASP),35.930765999999998,-120.10057,4342,8,4,5
12/24/2022,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1830,2,1,2
12/24/2022,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1482,3,18,2
12/24/2022,California Correctional Center (CCC),40.446063000000002,-120.664132,2598,0,0,0
12/24/2022,California Correctional Institution (CCI),35.132672999999997,-118.50781,1819,4,22,2
12/24/2022,Central California Women's Facility (CCWF),37.100417,-120.27864,2359,1,68,46
12/24/2022,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,1188,1,37,8
12/24/2022,California Health Care Facility (CHCF),37.955474000000002,-121.19064,1900,23,231,33
12/24/2022,California Institution for Men (CIM),34.015962999999999,-117.68737,3883,30,56,25
12/24/2022,California Institution for Women (CIW),33.903803000000003,-117.60221,1059,1,18,9
12/24/2022,California Men's Colony (CMC),35.221085000000002,-120.636399,3714,13,2,11
12/24/2022,California Medical Facility (CMF),38.348959999999998,-121.908324,1977,13,151,33
12/24/2022,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,2609,9,12,29
12/24/2022,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,3712,1,195,171
12/24/2022,Correctional Training Facility (CTF),36.411760000000001,-121.32617,3577,21,38,1
12/24/2022,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,2799,9,37,1
12/24/2022,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0
12/24/2022,Folsom State Prison (FSP),38.672127000000003,-121.15783,2905,2,26,19
12/24/2022,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2295,2,84,12
12/24/2022,Ironwood State Prison (ISP),33.598689999999998,-114.652517,3145,1,37,7
12/24/2022,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,1421,7,43,76
12/24/2022,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,2292,15,105,31
12/24/2022,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,3342,9,56,24
12/24/2022,North Kern State Prison (NKSP),35.774966999999997,-119.23371,4236,6,255,192
12/24/2022,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,917,0,17,2
12/24/2022,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2765,3,61,10
12/24/2022,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1742,21,51,3
12/24/2022,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,1001,2,30,15
12/24/2022,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,4829,8,41,2
12/24/2022,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,3368,0,151,62
12/24/2022,California State Prison-Solano (SOL),38.344009999999997,-121.95333,2064,7,25,18
12/24/2022,San Quentin State Prison (SQ),37.943365,-122.49029,3239,28,36,7
12/24/2022,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,1282,6,58,14
12/24/2022,Valley State Prison (VSP),37.127524999999999,-120.50574,2251,2,47,5
12/24/2022,Wasco State Prison (WSP),35.605044999999997,-119.37143,5215,2,459,188
12/23/2022,Avenal State Prison (ASP),35.930765999999998,-120.10057,4342,8,80,5
12/23/2022,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1830,2,50,2
12/23/2022,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1482,3,69,2
12/23/2022,California Correctional Center (CCC),40.446063000000002,-120.664132,2598,0,0,0
12/23/2022,California Correctional Institution (CCI),35.132672999999997,-118.50781,1819,4,25,2
12/23/2022,Central California Women's Facility (CCWF),37.100417,-120.27864,2355,1,101,44
12/23/2022,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,1187,1,48,8
12/23/2022,California Health Care Facility (CHCF),37.955474000000002,-121.19064,1897,23,193,31
12/23/2022,California Institution for Men (CIM),34.015962999999999,-117.68737,3883,30,156,25
12/23/2022,California Institution for Women (CIW),33.903803000000003,-117.60221,1059,1,59,11
12/23/2022,California Men's Colony (CMC),35.221085000000002,-120.636399,3714,13,80,11
12/23/2022,California Medical Facility (CMF),38.348959999999998,-121.908324,1976,13,169,33
12/23/2022,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,2608,9,92,35
12/23/2022,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,3700,1,224,161
12/23/2022,Correctional Training Facility (CTF),36.411760000000001,-121.32617,3577,21,52,1
12/23/2022,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,2799,9,51,1
12/23/2022,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0
12/23/2022,Folsom State Prison (FSP),38.672127000000003,-121.15783,2905,2,55,22
12/23/2022,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2294,2,85,12
12/23/2022,Ironwood State Prison (ISP),33.598689999999998,-114.652517,3144,1,53,6
12/23/2022,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,1418,7,41,74
12/23/2022,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,2287,15,113,26
12/23/2022,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,3341,9,82,23
12/23/2022,North Kern State Prison (NKSP),35.774966999999997,-119.23371,4235,6,241,194
12/23/2022,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,917,0,29,2
12/23/2022,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2765,3,37,11
12/23/2022,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1742,21,46,3
