Filename,NegVaderPosFlair,PosVaderNegFlair,MatchingVaderFlair
Chino_20201231_186_Infections_PrisonConditions_A.txt,False,False,False
Chino_20201231_186_PrisonConditions_B.txt,True,False,True
Chino_20201231_186_PrisonConditions_C.txt,True,False,True
Chino_20201231_186_Stress_Family.txt,True,False,True
Chino_20201231_201_FULL.txt,False,False,False
Chino_20201231_201_Infection.txt,False,False,False
Chino_20201231_201_Infection_Stress.txt,True,False,True
Chino_20201231_201_PrisonConditions.txt,True,False,True
Chino_20201231_201_Programs.txt,False,True,True
Chino_20201231_201_Stress.txt,True,False,True
Chino_20210106_249_Full_Family.txt,False,True,True
Chino_20210312_659_FULL_PrisonConditions_Stress.txt,True,False,True
Chino_20211209_113_Full_ programs_PrisonConditions.txt,False,False,False
Chino_20220204_15904_FULL.txt,False,False,False
Chino_20220204_15904_Infection.txt,False,False,False
Chino_20220204_43800_Family_Stress.txt,False,False,False
Chino_20220204_43800_FULL.txt,False,True,True
Chino_20220204_43800_Infection_Family_Featured.txt,False,False,False
Chino_20220204_43800_Infection_Programs.txt,False,False,False
Chino_20220204_45125_FULL.txt,False,False,False
Chino_20220204_45125_Infection1_PrisonConditions1.txt,False,False,False
Chino_20220204_45125_Infection2_Stress2_Family.txt,False,False,False
Chino_20220204_45125_Stress1_PrisonConditions2.txt,False,False,False
Chino_20220204_68596_FULL.txt,False,False,False
Chino_20220204_68596_Infection1.txt,False,False,False
Chino_20220204_68596_Infection2_Family_Stress.txt,False,False,False
Chino_20220204_68596_PrisonConditions.txt,False,False,False
Chino_20220204_94412_Family2_PrisonConditions2.txt,False,False,False
Chino_20220204_94412_FULL.txt,False,False,False
Chino_20220204_94412_Infection2_PrisonConditions.txt,False,False,False
Chino_20220204_94412_Infection_Family_Featured.txt,True,False,True
Chino_20220204_94412_PrisonConditions3_Stress_Featured2.txt,False,False,False
Chowchilla_ 20210201_373_FULL.txt,False,False,False
Chowchilla_122120_193_FuLL.txt,True,False,True
Chowchilla_122120_193_Prisonconditons.txt,True,False,True
Chowchilla_122120_193_Stress.txt,True,False,True
Chowchilla_20201123_069_Full.txt,False,True,True
Chowchilla_20201124_062_Family.txt,False,False,False
Chowchilla_20201124_062_FULL.txt,False,False,False
Chowchilla_20201124_062_Programs.txt,False,False,False
Chowchilla_20201124_062_Stress.txt,False,False,False
Chowchilla_20201204_84_FULL.txt,True,False,True
Chowchilla_20201207_128_FULL.txt,False,False,False
Chowchilla_20201208_117_full.txt,False,False,False
Chowchilla_20201208_117_Infection.txt,False,False,False
Chowchilla_20201209_118_Full.txt,True,False,True
Chowchilla_20201209_118_Infection.txt,True,False,True
Chowchilla_20201209_118_PrisonConditions.txt,True,False,True
Chowchilla_20201209_118_Stress.txt,True,False,True
Chowchilla_20201209_121_Full_Family_PrisonConditions.txt,False,False,False
Chowchilla_20201217_204_FULL.txt,False,True,True
Chowchilla_20201217_204_Stress.txt,False,True,True
Chowchilla_20201218_173_FULL_PrisonConditions_Stress_Family.txt,False,False,False
Chowchilla_20201221_147_Family.txt,False,False,False
Chowchilla_20201221_147_FULL.txt,False,False,False
Chowchilla_20201221_147_PrisonConditions.txt,False,False,False
Chowchilla_20201221_147_Programs.txt,False,False,False
Chowchilla_20201221_193_FULL.txt,True,False,True
Chowchilla_20201221_193_FULL_PrisonConditions_Stress.txt,True,False,True
Chowchilla_20201221_193_PrisonConditions.txt,True,False,True
Chowchilla_20201221_193_Stress.txt,True,False,True
Chowchilla_20201222_189_FULL_Stress.txt,False,False,False
Chowchilla_20201223_218_FULL.docx,True,False,True
Chowchilla_20201223_218_FULL.txt,True,False,True
Chowchilla_20201223_218_Stress_PrisonConditions2.txt,True,False,True
Chowchilla_20201224_212_Full_PrisonConditions_Infection_Stress.txt,True,False,True
Chowchilla_20201228_148_FULL.txt,False,False,False
Chowchilla_20201228_148_Infection.txt,False,False,False
Chowchilla_20201228_148_PrisonConditions.txt,True,False,True
Chowchilla_20201228_177_Full.txt,False,False,False
Chowchilla_20201228_177_PrisonConditions.txt,True,False,True
Chowchilla_20201228_177_Stress.txt,False,False,False
Chowchilla_20210104_248_full.txt,False,False,False
Chowchilla_20210111_262_FULL_Infection.txt,False,False,False
Chowchilla_20210114_270_Full.txt,False,False,False
Chowchilla_20210114_270_PrisonConditions.txt,False,False,False
Chowchilla_20210114_270_PrisonConditions2.txt,True,False,True
Chowchilla_20210114_270_Stress_PrisonConditions.txt,True,False,True
Chowchilla_20210121_324_FULL.txt,False,False,False
Chowchilla_20210121_324_FULL_PrisonConditions.txt,False,False,False
Chowchilla_20210121_324_Prison_Conditions.txt,True,False,True
Chowchilla_20210216_424_FULL.txt,False,False,False
Chowchilla_20210216_424_Infection.txt,True,False,True
Chowchilla_20210216_424_PrisonConditions.txt,True,False,True
Chowchilla_20210324_640_FULL_PrisonConditions_Infection.txt,True,False,True
Chowchilla_20210326_801_FULL.txt,False,False,False
Chowchilla_20210326_801_PrisonConditions.txt,True,False,True
Chowchilla_20210326_801_PrisonConditons2.txt,False,False,False
Chowchilla_20210326_801_PrisonConditons3_Infection2_Programs.txt,True,False,True
Chowchilla_20210326_801_Stress_Infection3_Family.txt,False,False,False
Chowchilla_20210405_960_Full_Stress.txt,False,True,True
Chowchilla_20210514_09_19_Family_Stress.txt,False,False,False
Chowchilla_20210514_09_19_FULL.txt,False,False,False
Chowchilla_20210514_09_19_Infection_Programs_Family.txt,False,False,False
Chowchilla_20210514_09_19_Stress.txt,False,False,False
Chowchilla_20210913_92441_FULL.txt,False,False,False
Chowchilla_20210913_92441_PrisonConditions4_Infection.txt,True,False,True
Chowchilla_20210913_92441_PrisonConditions5_Infection2.txt,True,False,True
Chowchilla_20210913_92441_PrisonConditions_Stress.txt,True,False,True
Chowchilla_20210913_92441_Stress2_PrisonConditions2_Programs.txt,False,False,False
Chowchilla_20210913_92441_Stress3_PrisonConditions3_Programs2.txt,True,False,True
Chuckawalla_20201105_06_41_Family.txt,False,False,False
Chuckawalla_20201105_06_41_FULL.txt,False,False,False
Chuckawalla_20201105_06_41_Infection.txt,True,False,True
Chuckawalla_20201105_06_41_PrisonConditions.txt,True,False,True
Chuckawalla_20201105_06_41_PrisonConditions2.txt,True,False,True
Chuckawalla_20201105_06_41_PrisonConditions3.txt,False,False,False
