Story ID (prison_yyyymmdd_topic),Unique ID,On M.I. list?,Reviewed and Cleared,Date R&C,Added to site,Date added,Story Title (max 20 characters),Audio File,Transcript,Date (MM/YY),Prison,Tags,Storyteller,Story Type,"If Segment, Full Story ID",Letter/Call
Calipatria_20210217_07_39_FULL,6412,,MV,08/31/2021,MV,09/03/2021,The full story,https://www.dropbox.com/s/r3xmmimuup5xf5l/Calipatria_20210217_07_39_FULL.mp3?dl=0,https://www.dropbox.com/s/mixwko7g6k80y0i/Calipatria_20210217_07_39_full.txt?dl=0,02/23,Calipatria,,Incarcerated Person,Full,,Call
Calipatria_20210222_3_32_FULL_PrisonConditions,6454,,KT,,KT,,Lockdown all day,https://www.dropbox.com/s/oa86e6p8urtjowd/Calipatria_20210222_3_32_full.mp3?dl=0,https://www.dropbox.com/s/1ucugsuj8fh4ehd/Calipatria_20210222_3_32_PrisonConditions.txt?dl=0,02/23,Calipatria,"Prison Conditions, Program, Stress",Incarcerated Person,Full,,Call
Centinela_20210121_05_38_FULL,38941,,KT,,KT,,The full story,https://www.dropbox.com/s/imadj612xyp198s/Centinela_20210121_05_38_FULL.mp3?dl=0,https://www.dropbox.com/s/lga6cmvy1sgyyrf/Centinela_20210121_05_38_FULL.txt?dl=0,01/23,Centinela,,Family or Friend,Full,,Call
Centinela_20210412_57555_FULL,57555,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/2u0amdc639etsvskx8kbq/Centinela_20210412_57555_FULL.mp3?rlkey=h1fitbvoulfhbh6vx0n8mav5c&dl=0,https://www.dropbox.com/scl/fi/si5arp76mp1yeokr6jdqj/Centinela_20210412_57555_FULL.txt?rlkey=uex215lwgmlbrdn2d2r16y3v4&dl=0,04/23,Centinela,,Prison Staff,Full,,Call
Centinela_20210420_705_Full,98516,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/4yrshv9jbcqossfy4jynz/Centinela_20210420_705_Full.mp3?rlkey=seb5ylbof0ncq11m8bt2lss1a&dl=0,https://www.dropbox.com/s/may6j42dhy4bjzr/Centinela_20210420_705_Full.txt?dl=0,04/23,Centinela,,Incarcerated Person,Full,,Call
Chino_20201211_0615_FULL,6836,,KT,,KT,,The full story,https://www.dropbox.com/s/zo8wprtxjtez92t/Chino_20201211_0615_FULL.mp3?dl=0,https://www.dropbox.com/s/rid5vhldr3mh3vr/Chino_20201211_0615_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Call
Chowchilla_20210326_801_FULL,57882,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/wn1pjz91xjgafmkm8884l/Chowchilla_20210326_801_FULL.mp3?rlkey=oamza3h27ph8948njlvjiqc79&dl=0,https://www.dropbox.com/scl/fi/1bqddn10n64fkutw6qdhh/Chowchilla_20210326_801_FULL.txt?rlkey=htmcm0cjie6mk2g7jdl6y7xtz&dl=0,03/21,Chowchilla,,Incarcerated Person,Full,,Call
Chuckawalla_20201105_06_41_FULL,5455,,KT,,KT,,The full story,https://www.dropbox.com/s/y6jnet50afu6sfe/Chuckawalla_20201105_06_41_FULL.mp3?dl=0,https://www.dropbox.com/s/lr1ldq0u17pot24/Chuckawalla_20201105_06_41_FULL.txt?dl=0,11/23,Chuckawalla,,Incarcerated Person,Full,,Call
Chuckawalla_20201105_0728_FULL,8799,,KT,,KT,,The full story,https://www.dropbox.com/s/zwnmayg5v0gi41n/Chuckawalla_20201105_0728_FULL.mp3?dl=0,https://www.dropbox.com/s/thi3tglih6u7cvc/Chuckawalla_20201105_0728_FULL.txt?dl=0,11/23,Chuckawalla,,Incarcerated Person,Full,,Call
Chuckawalla_20201106_05_42_FULL,29680,,KT,,EB,,The full story,https://www.dropbox.com/s/s2kjzxpf0kad4ib/Chuckawalla_20201106_05_42_FULL.mp3?dl=0,https://www.dropbox.com/s/7q24wifdbvmkd6d/Chuckawalla_20201106_05_42_FULL.txt?dl=0,11/23,Chuckawalla,,Incarcerated Person,Full,,Call
